Style 对象
Style 对象代表一个单独的样式声明。可从应用样式的文档或元素访问 Style 对象。
使用 Style 对象属性的语法：
document.getElementById("id").style.property="值"
Style 对象的属性：
    背景
    边框和边距
    布局
    列表
    杂项
    定位
    打印
    滚动条
    表格
    文本
    规范
IE: Internet Explorer, M: 仅适用于 Mac IE, W: 仅适用于 Windows IE, F: Firefox, O: Opera
W3C: 万维网联盟 World Wide Web Consortium (Internet 标准).
Background 属性
属性 	描述 	IE 	F 	O 	W3C
background 	在一行中设置所有的背景属性 	4 	1 	9 	Yes
backgroundAttachment 	设置背景图像是否固定或随页面滚动 	4 	1 	9 	Yes
backgroundColor 	设置元素的背景颜色 	4 	1 	9 	Yes
backgroundImage 	设置元素的背景图像 	4 	1 	9 	Yes
backgroundPosition 	设置背景图像的起始位置 	4 	No 	No 	Yes
backgroundPositionX 	设置backgroundPosition属性的X坐标 	4 	No 	No 	No
backgroundPositionY 	设置backgroundPosition属性的Y坐标 	4 	No 	No 	No
backgroundRepeat 	设置是否及如何重复背景图像 	4 	1 	9 	Yes
Border 和 Margin 属性
属性 	描述 	IE 	F 	O 	W3C
border 	在一行设置四个边框的所有属性 	4 	1 	9 	Yes
borderBottom 	在一行设置底边框的所有属性 	4 	1 	9 	Yes
borderBottomColor 	设置底边框的颜色 	4 	1 	9 	Yes
borderBottomStyle 	设置底边框的样式 	4 	1 	9 	Yes
borderBottomWidth 	设置底边框的宽度 	4 	1 	9 	Yes
borderColor 	设置所有四个边框的颜色 (可设置四种颜色) 	4 	1 	9 	Yes
borderLeft 	在一行设置左边框的所有属性 	4 	1 	9 	Yes
borderLeftColor 	设置左边框的颜色 	4 	1 	9 	Yes
borderLeftStyle 	设置左边框的样式 	4 	1 	9 	Yes
borderLeftWidth 	设置左边框的宽度 	4 	1 	9 	Yes
borderRight 	在一行设置右边框的所有属性 	4 	1 	9 	Yes
borderRightColor 	设置右边框的颜色 	4 	1 	9 	Yes
borderRightStyle 	设置右边框的样式 	4 	1 	9 	Yes
borderRightWidth 	设置右边框的宽度 	4 	1 	9 	Yes
borderStyle 	设置所有四个边框的样式 (可设置四种样式) 	4 	1 	9 	Yes
borderTop 	在一行设置顶边框的所有属性 	4 	1 	9 	Yes
borderTopColor 	设置顶边框的颜色 	4 	1 	9 	Yes
borderTopStyle 	设置顶边框的样式 	4 	1 	9 	Yes
borderTopWidth 	设置顶边框的宽度 	4 	1 	9 	Yes
borderWidth 	设置所有四条边框的宽度 (可设置四种宽度) 	4 	1 	9 	Yes
margin 	设置元素的边距 (可设置四个值) 	4 	1 	9 	Yes
marginBottom 	设置元素的底边距 	4 	1 	9 	Yes
marginLeft 	设置元素的左边距 	4 	1 	9 	Yes
marginRight 	设置元素的右边据 	4 	1 	9 	Yes
marginTop 	设置元素的顶边距 	4 	1 	9 	Yes
outline 	在一行设置所有的outline属性 	5M 	1 	9 	Yes
outlineColor 	设置围绕元素的轮廓颜色 	5M 	1 	9 	Yes
outlineStyle 	设置围绕元素的轮廓样式 	5M 	1 	9 	Yes
outlineWidth 	设置围绕元素的轮廓宽度 	5M 	1 	9 	Yes
